step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
347,1479384,2776,0.007025653668092607,0.875,0.9830508474576272,,,
348,1483232,2784,0.007827021382495351,0.5,0.9325842696629213,,,
349,1488872,2792,0.0071855950372893725,0.625,0.9428571428571428,,,
350,1493168,2800,0.006982444081877825,0.625,0.96,,,
351,1495992,2808,0.011760832428013141,0.5,0.9206349206349206,,,
352,1500096,2816,0.009592661147935989,0.375,0.9263157894736842,,,
353,1502984,2824,0.011798607451620207,0.5,0.927710843373494,0.008323199912586775,0.5,0.9354838709677419
354,1505744,2832,0.011908749964586723,0.625,0.9487179487179487,,,
355,1512536,2840,0.006059646653547214,0.25,0.8970588235294118,,,
356,1514976,2848,0.00931092445594792,0.75,0.9746835443037974,,,
357,1518376,2856,0.011069674166411261,0.25,0.9076923076923077,,,
358,1522160,2864,0.007980595513203568,0.625,0.9444444444444444,,,
359,1525816,2872,0.008178274441013888,0.5,0.9175257731958762,,,
360,1529024,2880,0.0068547304920788645,0.75,0.95,,,
361,1532552,2888,0.011223087165909959,0.375,0.9,0.004504914526256794,0.875,0.9833333333333333
362,1535888,2896,0.0070537625711904195,0.625,0.9473684210526315,,,
363,1538648,2904,0.01006245207177339,0.625,0.9428571428571428,,,
364,1541408,2912,0.011610440720987986,0.375,0.9295774647887324,,,
365,1545320,2920,0.008697661478325167,0.375,0.9240506329113924,,,
366,1548848,2928,0.0077893966072214,0.5,0.9518072289156626,,,
367,1552248,2936,0.009846934583304746,0.375,0.9302325581395349,,,
368,1555584,2944,0.007592739532352395,0.75,0.9753086419753086,,,
369,1558088,2952,0.010881028208497564,0.5,0.9166666666666666,0.009987601122305982,0.5,0.9459459459459459
370,1560528,2960,0.011682233857632937,0.625,0.9605263157894737,,,
371,1566360,2968,0.0076660410805226105,0.5,0.9294117647058824,,,
372,1571552,2976,0.007822642255817748,0.25,0.8833333333333333,,,
373,1574568,2984,0.008258583985789754,0.75,0.975,,,
374,1577136,2992,0.010779401949077588,0.625,0.9523809523809523,,,
375,1580408,3000,0.01015778931662937,0.5,0.9636363636363636,,,
376,1583424,3008,0.008491729451467917,0.75,0.975,,,
377,1586312,3016,0.011279719751859192,0.375,0.8983050847457628,0.004937983740088026,0.375,0.9230769230769231
378,1592080,3024,0.00575144869199039,0.5,0.9518072289156626,,,
379,1595672,3032,0.010261600645361205,0.125,0.8888888888888888,,,
380,1601120,3040,0.007452003354648997,0.5,0.9473684210526315,,,
381,1605800,3048,0.007978101044062231,0.375,0.9047619047619048,,,
382,1609520,3056,0.007723205140791654,0.625,0.9577464788732394,,,
383,1612088,3064,0.011167054513327872,0.5,0.9342105263157895,,,
384,1614528,3072,0.009191220677454552,0.75,0.9782608695652174,,,
385,1625544,3080,0.0037849234263156346,0.875,0.9859154929577465,0.011291884056378897,0.625,0.9578947368421052
386,1628752,3088,0.007421816993344203,0.875,0.9878048780487805,,,
387,1632280,3096,0.009671812088293276,0.375,0.9107142857142857,,,
